32ビット拡張版（31bit 0x40000000 まで可）,,,,
,,,,
カテゴリー,value値,親カテゴリー,項目名,関連付け
1,1-0x80000,,Productivity,
2,1-0x100000,1-0x80000,Lesson 1,3
2,1-0x800000,1-0x80000,Lesson 2,3
2,1-0x1000000,1-0x80000,Lesson 3,3
2,1-0x2000000,1-0x80000,Lesson 4,3
2,2-0x200,1-0x80000,Productivity Test,3
1,1-0x4000000,,Kaizen,
2,1-0x8000000,1-0x4000000,Lesson 1,3
2,1-0x10000000,1-0x4000000,Lesson 2,3
2,1-0x20000000,1-0x4000000,Lesson 10,3
2,2-0x400,1-0x4000000,Kaizen Test,3
1,1-0x40000000,,5S,
2,2-0x1,1-0x40000000,Lesson 1,3
2,2-0x2,1-0x40000000,Lesson 2,3
2,2-0x4,1-0x40000000,Lesson 3,3
2,2-0x8,1-0x40000000,Lesson 4,3
2,2-0x800,1-0x40000000,5S Test,3
1,2-0x10,,Others,
2,2-0x20,2-0x10,Lesson 1,3
2,2-0x40,2-0x10,Lesson 2,3
2,2-0x80,2-0x10,Lesson 3,3
2,2-0x100,2-0x10,Lesson 4,3
2,2-0x1000,2-0x10,Others Test,3
